"ID","TITULO","IMAGEN","TIPO","EPISODIOS","ESTADO","FECHA_ESTRENO","LICENCIA","ID_ESTUDIOS","SRC","ID_GENEROS","DURACION","DESCRIPCION"
"53","Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita","https://cdn.myanimelist.net/images/anime/1888/133089.jpg","TV","12","Finished Airing","2021-04-10","None found","[128, 3, 4, 13, 14, 129, 51, 10, 110, 35, 130, 131, 132]","Light novel","[1, 2, 35, 4, 12]","23.0","In role-playing games, slimes are usually the easiest monster to kill, and because of that, they yield few experience points. But what would happen if you live long enough to keep defeating them for 300 years?  After many years of being a corporate slave, Azusa Aizawa abruptly passes away due to severe exhaustion. Seemingly headed for the afterlife, she meets a goddess who bestows her with immortality alongside a peaceful life in another world. There, Azusa enjoys her days tending to her farm, protecting the nearby village, and killing about 25 slimes per day—a routine that continues for at least three centuries.  However, this rather monotonous cycle begins to change when Azusa suddenly finds out that she has reached level 99—the maximum possible level—from slimes alone. Despite desperately trying to hide this fact in fear of ending her slow life, rumors of her strength spread nevertheless. Soon enough, various people throughout the continent, like the dragon Laika and the elf Halkara, start to appear at her doorstep—some seeking a battle, others asking for her assistance. Meeting friends and acquaintances who soon become family, Azusa finds she can live a life far better with others than when she was alone.  [Written by MAL Rewrite]"
"54","Arifureta Shokugyou de Sekai Saikyou 2nd Season","https://cdn.myanimelist.net/images/anime/1877/119668.jpg","TV","12","Finished Airing","2022-01-13","None found","[70, 133]","Light novel","[13, 10, 2, 20, 4]","23.0","After rescuing his former classmates from the perils of a labyrinth—a mythical place that grants a divine magic to whosoever triumphs over its trials—Nagumo Hajime emerges victorious, while the new heroes of the fantasy world Tortus must face their first major failure. Together with his traveling companions and the new team member Kaori Shirasaki, Nagumo resumes his journey to conquer all labyrinths and eventually return to his original world.  Meanwhile, the heroes from Earth try learning from their mistakes and prepare for the demon army's invasion. As the final confrontation looms closer, new and old enemies start setting their evil plans in motion. Once more, Nagumo must prove that he can prevail against the most formidable opponents, all while protecting the ones he holds closest to his heart.  [Written by MAL Rewrite]"
"55","Sentouin, Hakenshimasu!","https://cdn.myanimelist.net/images/anime/1444/115118.jpg","TV","12","Finished Airing","2021-04-04","Funimation","[13, 19, 53]","Light novel","[13, 1, 2, 28, 4]","24.0","As a chief operative of the villainous Kisaragi Corporation, Sentouin Roku-gou receives orders to help the organization conquer the entire known universe. Tasked with infiltrating the kingdom of Grace—a mission that could change the fate of the world—Roku-gou mistakenly believes that his skills as a combatant are superb, fuelling his arrogant attitude. To ensure the success of the mission, Alice Kisaragi, an exceptional android with a youthful appearance named after the company itself, is assigned to be Roku-gou's travel companion.  Upon their arrival at the outskirts of the kingdom, Alice and Roku-gou encounter Snow, the commander of the country's royal guard. Snow leads the pair to a broken legendary artifact, and Roku-gou seizes the opportunity for a long-awaited promotion at his company and changes the recitation for the sacred ritual to an embarrassing phrase. As punishment, the princess of the kingdom forces Roku-gou to become an honorary knight, fulfilling part of his mission. Having infiltrated the kingdom's inner circle, Roku-gou must now help his new employer fight against the Demon Lord's Army, all while perpetuating evil deeds as a combatant of the Kisaragi Corporation.  [Written by MAL Rewrite]"
"56","Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!","https://cdn.myanimelist.net/images/anime/1115/98517.jpg","OVA","1","Finished Airing","2017-07-24","Discotek Media","[20]","Light novel","[10, 1, 2, 4, 11, 12]","28.0","On one noteworthy day in the Adventurer's Guild, Kazuma Satou encounters someone unexpected—a fan of his named Ran. Surprised that he even has a fan, Kazuma attempts to play it cool to impress her. Unfortunately for him, the guild's receptionist arrives with a request to defeat a giant golem guarding some ancient ruins, and Kazuma accepts only to keep Ran's admiration.  Upon Kazuma and his party's successful return from the ruins, Kazuma continues to shamelessly brag to Ran. Capitalizing on his desperation, the receptionist approaches him with another quest that requires him to return to the same ruins. Hoping to find valuable treasures, Kazuma once again convinces his party to join him—but this time, he may be biting off more than he can chew.  [Written by MAL Rewrite]"
"57","Outbreak Company","https://cdn.myanimelist.net/images/anime/7/54343.jpg","TV","12","Finished Airing","2013-10-04","Sentai Filmworks","[30, 117, 34, 3, 134, 135]","Light novel","[1, 2, 20, 4, 36, 11]","24.0","Shinichi Kanou is a shut-in otaku with a vast knowledge of anime, manga, and video games. One day, after applying for a job in hopes of escaping his secluded lifestyle, he is kidnapped and transported to the Eldant Empire—a fantasy world filled with elves, dragons, and dwarves. Trapped in this strange land, Shinichi is given an unlikely task by the Japanese government: to spread otaku culture across the realm by becoming an ""Otaku Missionary.""  To accomplish his mission, Shinichi has the full support of the Japanese government, as well as the half-elf maid Myucel and Princess Petralka of the Eldant Empire. Together with this ragtag bunch, he will overcome the obstacles of politics, social classes, and ethnic discrimination to promote the ways of the otaku in this holy land.  [Written by MAL Rewrite]"
"58","Seirei Gensouki","https://cdn.myanimelist.net/images/anime/1836/116060.jpg","TV","12","Finished Airing","2021-07-06","None found","[83, 13, 14, 84, 85, 136, 137, 25, 138, 139, 140, 141, 142, 143]","Light novel","[13, 10, 2, 19, 20, 4, 12]","23.0","When 20-year-old college student Haruto Amakawa dies in a traffic accident, he does not expect to wake up in an unfamiliar world in the body of a young boy named Rio. As their memories and personas fuse, Rio realizes that he now also possesses magical powers. He is relieved to find that his burning passion for revenge against his mother's murderers has not subsided, despite his newly changed identity.  Not soon after, Rio comes across the kidnapped princess of the Bertram Kingdom and saves her without hesitation. To express his gratitude, the king grants him the opportunity to enroll in the Bertram Royal Academy. Believing this to be a new chapter in his life, he is excited to study at this prestigious academy, but life here proves to be difficult for him, a slum-dweller surrounded by the majestic children of nobles.  [Written by MAL Rewrite]"
"59","Naruto: Shippuuden Movie 6 - Road to Ninja","https://cdn.myanimelist.net/images/anime/1620/94336.jpg","Movie","1","Finished Airing","2012-07-28","VIZ Media","[6, 92, 104, 39, 144, 145]","Manga","[13, 10, 2, 4, 17]","1.0","Returning home to Konohagakure, the young ninja celebrate defeating a group of supposed Akatsuki members. Naruto Uzumaki and Sakura Haruno, however, feel differently. Naruto is jealous of his comrades' congratulatory families, wishing for the presence of his own parents. Sakura, on the other hand, is angry at her embarrassing parents, and wishes for no parents at all. The two clash over their opposing ideals, but are faced with a more pressing matter when the masked Madara Uchiha suddenly appears and transports them to an alternate world.  In this world, Sakura's parents are considered heroes—for they gave their lives to protect Konohagakure from the Nine-Tailed Fox attack 10 years ago. Consequently, Naruto's parents, Minato Namikaze and Kushina Uzumaki, are alive and well. Unable to return home or find the masked Madara, Naruto and Sakura stay in this new world and enjoy the changes they have always longed for. All seems well for the two ninja, until an unexpected threat emerges that pushes Naruto and Sakura to not only fight for the Konohagakure of the alternate world, but also to find a way back to their own.  [Written by MAL Rewrite]"
"60","Isekai Ojisan","https://cdn.myanimelist.net/images/anime/1743/125204.jpg","TV","13","Finished Airing","2022-07-06","None found","[3, 4, 24, 35, 18, 19, 146]","Web manga","[1, 2, 22, 4, 36, 11]","24.0","After a fatal encounter with a truck, Takafumi Takaoka's uncle, Yousuke ""Ojisan"" Shibazaki, lies comatose for 17 years. When he finally regains consciousness, Ojisan begins to ramble in a foreign tongue and reveals that he had been transported to a magical world called Gran Bahamal. Takafumi dismisses his uncle's claims as nonsense until an incantation makes a cup of water hover in the air. In a flash of brilliance, the pair creates a YouTube channel to showcase Ojisan's magical abilities.  The responsibility now falls on Takafumi's shoulders to acquaint Ojisan with everything that has transpired during his absence, including getting him up to speed with the internet, new technology, and surprisingly, the outcome of the '90s console war—the result of which was especially distressing for a hardcore SEGA fan. With Ojisan's wisdom from his other world experiences, they grow their YouTube channel and tackle online comments and trolls. The journey of this uncle-nephew duo promises to be anything but conventional.  [Written by MAL Rewrite]"
"61","Tensura Nikki: Tensei shitara Slime Datta Ken","https://cdn.myanimelist.net/images/anime/1458/117607.jpg","TV","12","Finished Airing","2021-04-06","None found","[29, 34, 35, 36, 37, 60, 58, 61, 38]","Manga","[1, 2, 4, 12, 17]","23.0","In between slaying monsters and negotiating with neighboring countries, Rimuru Tempest has his hands full attending to his kingdom alongside day-to-day matters. But whether it's expanding the farms in the summer heat or shoveling snow in the chilly winter, no task is too big for Rimuru and his friends!  [Written by MAL Rewrite]"
"62","Isekai Cheat Magician","https://cdn.myanimelist.net/images/anime/1282/102248.jpg","TV","12","Finished Airing","2019-07-10","None found","[4, 18, 19, 147, 148]","Light novel","[13, 10, 2, 4]","23.0","Regular high schooler Taichi Nishimura and his childhood friend, Rin Azuma, are on their way to school one ordinary morning. Suddenly, a glowing light envelops them, transporting them to a fantasy world full of magical creatures.  Upon their arrival, Taichi and Rin are threatened by a beast. They are promptly saved by a group of adventurers, who advise the pair that traveling unarmed and inexperienced makes them vulnerable to the recently increasing monster attacks. Taichi and Rin are directed to the Guild, where they can determine their magical aptitude and register as adventurers. However, the test they take reveals an unprecedented result: Taichi and Rin possess extraordinary powers that far surpass the standard mage, instantly transforming them from typical high school students to the ultimate cheat magicians.  Taichi and Rin learn to grasp the full extent of their powers and familiarize themselves with their new world. However, while the duo seeks to uncover the reason behind their transportation and a possible way back to their original world, unexpected trouble lurks in the shadows.  [Written by MAL Rewrite]"
"63","Mairimashita! Iruma-kun 2nd Season","https://cdn.myanimelist.net/images/anime/1527/113656.jpg","TV","21","Finished Airing","2021-04-17","None found","[95, 96, 97]","Manga","[1, 2, 4, 14, 21, 17]","24.0","After many trials and tribulations, Iruma Suzuki is finally happily living among demons despite having to hide his true identity as a human. Even more so, he has now found his ambition in life: keep ranking up in this world!  However, that plan is halted when Iruma's club is temporarily dismissed, and he is forced to be part of the student council, known for its strictness toward rowdy students. Its cold-hearted president is Amelie Azazel, Iruma's friend. Although Iruma is not used to following their rigid schedule and many rules, he still wants to prove himself and help Amelie alongside all of the other members of the council.  But trouble arises when Amelie's personality completely changes due to strange circumstances, putting the student council's reputation in jeopardy. Will Iruma be able to save them and avoid having the whole school turn into pure chaos?  [Written by MAL Rewrite]"
"64","Sonny Boy","https://cdn.myanimelist.net/images/anime/1509/117149.jpg","TV","12","Finished Airing","2021-07-16","Funimation","[50, 149, 150, 5]","Original","[37, 27, 4, 32]","24.0","Thirty-six students find themselves and their school building suddenly adrift in a void-like dimension. When supernatural powers awaken in some of them, a sense of detachment begins to divide the group. Despite the student council's attempts to impose order, they clash with the students possessing special abilities, who rebel against their strict control.  This conflict leads them to discover that this world has its own set of rules—and following them is necessary for survival. After one of the students decides to take a leap of faith, the school switches dimensions once again. While they deal with the unique challenges and circumstances that each world presents, the students must unravel the mysterious phenomenon and find a way back home.  [Written by MAL Rewrite]"
"65","Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen","https://cdn.myanimelist.net/images/anime/1582/101697.jpg","TV","14","Finished Airing","2019-10-03","Sentai Filmworks, Crunchyroll","[151, 49, 83, 14, 76, 136, 152, 79, 153, 154, 155, 156, 67]","Light novel","[2, 4, 12]","23.0","Urano Motosu loves books and has an endless desire to read literature, no matter the subject. She almost fulfills her dream job of becoming a librarian before her life is ended in an accident. As she draws her last breath, she wishes to be able to read more books in her next life.  As if fate was listening to her prayer, she wakes up reincarnated as Myne—a frail five-year-old girl living in a medieval era. What immediately comes to her mind is her passion. She tries to find something to read, only to become frustrated by the lack of books at her disposal.  Without the printing press, books have to be written and copied by hand, making them very expensive; as such, only a few nobles can afford them—but this won't stop Myne. She will prove that her will to read is unbreakable, and if there are no books around, she will make them herself!  [Written by MAL Rewrite]"
"66","Kage no Jitsuryokusha ni Naritakute! 2nd Season","https://cdn.myanimelist.net/images/anime/1622/139331.jpg","TV","12","Finished Airing","2023-10-04","Sentai Filmworks","[4, 8, 72, 19, 73, 74, 75]","Light novel","[13, 1, 2, 4, 12]","23.0","Everything has been going according to plan, but the hour of awakening draws near. Cid Kagenou and Shadow Garden investigate the Lawless City, a cesspool where the red moon hangs low in the sky and three powerful monarchs rule the streets. The true draw for Cid, however, is one who can draw blood–the Blood Queen, a vampire who has slumbered in her coffin for eons. Her awakening approaches, and Cid could finally face a day of reckoning.  (Source: HIDIVE)"
"67","Saihate no Paladin","https://cdn.myanimelist.net/images/anime/1176/118382.jpg","TV","12","Finished Airing","2021-10-09","None found","[134, 78, 157, 68, 158, 159]","Light novel","[13, 10, 2, 4, 12]","23.0","Born into a new world after a life of stagnancy, Will awakens to the faces of a skeleton, a ghost, and a mummy. Living in the ruins of a city long fallen, the three raise Will as their own. The skeleton— Blood—teaches him to fight; the ghost—Gus—teaches him magic; and the mummy—Mary—teaches him religion and responsibility. Most importantly, they all teach him love.  As Will grows up and learns about the world he was born into, he prepares for the day when he must finally set out on his own. For Will, this journey includes a lifelong promise. At their coming-of-age, every adult is required to swear an oath to the god of their choice, with the strength of the pledge affecting the degree of their sworn god's blessing.  With his departure approaching, Will must prepare to accept the truth of his undead guardians and embark into a world that even they don't know the state of. Will discovers, however, that every oath must be fulfilled, one way or another.  [Written by MAL Rewrite]"
"68","Gaikotsu Kishi-sama, Tadaima Isekai e Odekakechuu","https://cdn.myanimelist.net/images/anime/1361/120706.jpg","TV","12","Finished Airing","2022-04-07","None found","[30, 4, 134, 78, 68, 25, 160, 161, 162, 163]","Light novel","[13, 10, 2, 4]","23.0","After falling asleep while playing an online game, a man wakes up and finds himself transported to that game's world as his in-game character, Arc. He wastes no time adjusting to his new environment, but soon realizes that he is using the skeleton avatar he chose when creating his character, which forces him to hide his visage to avoid unwanted attention.  Arc goes to the nearby castle town of Luvierte, hoping to become an adventurer and take on quests to earn money. With his overpowered abilities, Arc embarks on a fantastical journey—exploring diverse territories, looting various monsters, and helping people get out of sticky situations. However, his seemingly innocuous actions may soon involve him in a brewing large-scale conflict that will forever alter the fate of the realm.  [Written by MAL Rewrite]"
"69","Otome Game Sekai wa Mob ni Kibishii Sekai desu","https://cdn.myanimelist.net/images/anime/1161/121462.jpg","TV","12","Finished Airing","2022-04-03","Crunchyroll","[4, 24, 157, 18, 19, 37, 164, 165]","Light novel","[13, 2, 19, 20, 4, 29, 12, 21]","23.0","Blackmailed into playing a dating simulator set in a matriarchy, an ordinary man must put up with the unbearable and convoluted world until he clears the game. After countless days of grinding, he finally manages to beat it, but his hardcore gaming comes at a cost: extreme sleep deprivation and hunger.  While heading out to the convenience store to solve one of these problems, the man tumbles down the stairs and falls unconscious, only to wake up to the worst possible realization—he has been reincarnated into the game as the mob character Leon Fou Bartfort. Now trapped in a world he despises, Leon must use his knowledge of the game to navigate through the plot safely and sustain himself in a society where the odds are heavily stacked against him.  [Written by MAL Rewrite]"
"70","Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow","https://cdn.myanimelist.net/images/anime/1081/95707.jpg","Movie","1","Finished Airing","2018-10-06","None found","[11]","Light novel","[2, 4]","1.0","Subaru Natsuki finally gets to take a breather, but he does not waste any time as he prepares for a date with his beloved Emilia. He scouts the nearby village for the right dating spot, and with the help of the village children, he finds a wonderful location. With that, he is well prepared for his date!  Unfortunately for Subaru, cold weather suddenly sweeps across Roswaal's mansion on his important day, leaving him with no choice but to postpone the date. Overnight, it becomes even colder and unbearable. Subaru must get to the bottom of this because, at this rate, his date will be the least of his worries.  [Written by MAL Rewrite]"
"71","100-man no Inochi no Ue ni Ore wa Tatteiru","https://cdn.myanimelist.net/images/anime/1506/117717.jpg","TV","12","Finished Airing","2020-10-02","Crunchyroll","[29, 54, 166]","Manga","[13, 6, 2, 4, 38, 17]","23.0","Yuusuke Yotsuya has always disliked Tokyo, but he especially hates the people who live in it. He would rather thrive in a virtual world than try to get along with those around him. At the end of one school day, he sees the popular athlete Iu Shindou talking to Kusue Hakozaki, who spends less time in school due to illness. But when he looks away from the two and back again, they have seemingly disappeared.  Mere moments later, Yotsuya enters a state of free-fall, and the world begins to change around him. Dropping into a large pool of water, the first thing he sees when he comes to his senses is an assortment of enormous monsters. He soon finds out that he has been brought into a game world by Shindou and Hakozaki and that he must complete a quest within 14 days.  There is one thing that separates this world from the real world: anyone who dies will be brought back to life in 30 seconds as long as one party member is alive. Tasked with numerous quests that increase in difficulty over time, Yotsuya, Shindou, and Hakozaki attempt to discover the mystery behind the perplexing game world.  [Written by MAL Rewrite]"
"72","Fate/Grand Order: Zettai Majuu Sensen Babylonia","https://cdn.myanimelist.net/images/anime/1194/103420.jpg","TV","21","Finished Airing","2019-10-05","Aniplex of America","[92, 167, 168, 169]","Game","[13, 2, 39, 4]","23.0","A.D. 2016, the foundations of humanity have been incinerated by the Mage King Solomon. Chaldea, a secret mages organization with the mission to preserve humanity's future, foresaw mankind's extinction in 2015. Thus commenced the operation to repair the Singularities in history caused by Holy Grails dispersed across time and space—Operation Grand Order.  Using the Rayshift time travel technology, Chaldea's last master Ritsuka Fujimaru and his demi-servant Mash Kyrielight have traveled to and resolved six Singularities. Now, they depart for their most dangerous destination yet: a civilization in the Age of Gods, B.C. 2655 Mesopotamia. Ritsuka and Mash soon discover that Demonic Beasts roam the land, attacking people and towns. Amidst chaos and terror lies humanity's last defense—Uruk, a fortress city that acts as the frontline for the battle against the beasts. The battlefront is commanded by none other than King Gilgamesh, the King of Heroes, who sought aid from Heroic Spirits and took on the role of a mage to protect his city.  Along with Gilgamesh and the summoned servants, Ritsuka and Mash must protect Uruk against the magical beasts' onslaught and defeat the Three Goddess Alliance who aims to eradicate humankind; all the while, a greater threat looms over Uruk, preparing for its awakening.  [Written by MAL Rewrite]"
"73","Youjo Senki Movie","https://cdn.myanimelist.net/images/anime/1249/117182.jpg","Movie","1","Finished Airing","2019-02-08","None found","[4, 15, 19, 170, 46]","Light novel","[13, 2, 4, 18, 12]","1.0","With its armies sweeping across the continent, the Empire seems unstoppable. After securing victory over the remnants of the Republic's army, the Empire's ultimate victory is finally within reach. However, dark clouds are gathering in the East. The communist-led Russy Federation is mustering troops on its western border, preparing to enter the war. Supported by a detachment of Allied volunteer magicians—among whom is Mary Sioux, the daughter of a soldier killed by Tanya Degurechaff—the Federation is determined to spread the communist creed and bring the Empire to its knees.  Meanwhile, Tanya and her battalion return to the imperial capital from the southern front. Upon their arrival, they are tasked with investigating troop movements on the border with the Federation. Any escalation of violence at this point may lead to new conflicts, plunging the world into a devastating global war.  Will the Empire eventually emerge victorious from its struggle, or will it crumble in the face of superior enemies and radically different ideologies?  [Written by MAL Rewrite]"
"74","Isekai de Cheat Skill wo Te ni Shita Ore wa, Genjitsu Sekai wo mo Musou Suru: Level Up wa Jinsei wo Kaeta","https://cdn.myanimelist.net/images/anime/1316/134327.jpg","TV","13","Finished Airing","2023-04-07","None found","[143, 47, 35, 19, 142, 102]","Light novel","[13, 10, 2, 4, 21]","24.0","All his life, Yuuya Tenjou has been the subject of resentment and contempt from everyone around him, even from his parents. To make matters worse, his grandfather—the only person who ever showed him affection—suddenly dies, leaving Yuuya truly alone.  Despite facing many adversities, Yuuya does what he can to offer kindness to those who need it—but even the most good-natured people can only tolerate so much abuse. Just when he reaches his breaking point, a flicker of hope appears in the form of a hidden door in his bathroom.  This door provides two-way access to an abandoned house in another world, where he instantly gains game-like stats and skills. Moreover, the house once belonged to a sage, which gives Yuuya access to remarkable weapons, equipment, and crops with extraordinary effects. With these newfound blessings, the once-undesirable Yuuya may just reach his true potential and become unstoppable.  [Written by MAL Rewrite]"
"75","Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!","https://cdn.myanimelist.net/images/anime/1132/111619.jpg","TV","12","Finished Airing","2019-10-03","None found","[28, 83, 30, 4, 14, 136, 47, 171, 153, 172, 131, 173]","Light novel","[13, 10, 2, 4]","23.0","Seven Japanese high school students enjoy international renown for their remarkable talents. One day, these friends survive a plane crash only to find themselves in the medieval fantasy world of Freyjagard, where two human races live side by side in a feudal society: the byuma, who have animal features and formidable strength, and the hyuma, who have a small chance of magical aptitude. After being rescued by the byuma Winona and her adopted elven daughter Lyrule, the group pledges to use their advanced skills and knowledge to pay back the people of Elm Village for their hospitality and find a way to return back home.  Tsukasa Mikogami, the prime minister of Japan, acts as the leader of these young geniuses and organizes their efforts to intervene in Freyjagard and gather the information and resources necessary for achieving their goals. Believing that there is a connection between their current situation and an ancient legend about seven heroes from another world who defeated an evil dragon, Tsukasa directs the others to learn about the culture around them and search for any clues leading them back to Earth. But he also gives another instruction: to take it nice and easy, lest they ruin this world by giving it their all.  [Written by MAL Rewrite]"
"76","Knight's & Magic","https://cdn.myanimelist.net/images/anime/1472/93813.jpg","TV","13","Finished Airing","2017-07-02","Funimation","[174, 49, 29, 4, 8, 64, 10, 38]","Light novel","[13, 2, 4, 29, 12, 21]","24.0","Having died in a car accident, Tsubasa Kurata—an otaku from modern Japan—is reborn in the Fremmevilla Kingdom, a medieval world where powerful mechs called Silhouette Knights are used to fight horrific demonic beasts.  Born into a noble family under the name of Ernesti Echevarria and bestowed with prodigious magical abilities, he enrolls into Royal Laihaila Academy. This school of magic trains young men and women on how to pilot the Silhouette Knights, prepping them to protect the kingdom from threats, both demonic and human. Ernesti teams up with the twins named Adeltrud and Archid Olter with the goal to create his own Silhouette Knight one day, a feat unheard of for several centuries.  [Written by MAL Rewrite]"
"77","Tensei shitara Ken deshita","https://cdn.myanimelist.net/images/anime/1191/127909.jpg","TV","12","Finished Airing","2022-10-05","Sentai Filmworks","[175, 176, 81, 177, 37, 150, 48, 164, 116]","Light novel","[13, 10, 2, 4, 12]","23.0","A nameless sword wakes up to discover he has been reincarnated from his former life as a human. With his power of telekinesis, he moves around this new world, acquiring several skills and abilities. When the sword comes upon a forest filled with monsters, he meets a young girl fleeing from a beast. Grabbing the sword, the girl easily defeats the monster. After introducing herself as Fran, she names the sword ""Shishou"" and officially becomes his wielder.  The two set out to become adventurers, but unfortunately for Fran, she is a member of the Black Cat Tribe—a Beastkin group with a bad reputation. No member of this tribe has ever evolved into a mightier beast, but Fran plans to be the first and achieve her parents' dream. As Shishou promises to remain her sword until she attains her goal, they form an unstoppable partnership of impressive strength.  [Written by MAL Rewrite]"
"78","Isekai Shokudou","https://cdn.myanimelist.net/images/anime/3/86666.jpg","TV","12","Finished Airing","2017-07-04","Funimation","[6, 28, 76, 176, 63, 25, 178, 147, 80]","Light novel","[2, 40, 41, 4, 16]","23.0","Western Restaurant Nekoya is a popular eatery located on a street corner in a Tokyo shopping district. Serving both traditional Japanese fare as well as Western dishes, this eating establishment is popular among Tokyo's residents. But this seemingly ordinary restaurant is also popular with another type of clientele...  While the restaurant is thought to be closed on Saturdays, the truth is that on this special day each week, its doors are instead opened to the inhabitants of other worlds. From dragons and elves to fairies and mages, this restaurant has no shortage of strange customers. Nevertheless, the enigmatic chef known only as ""Master"" will be waiting to serve up their favorite dishes with a kind smile and keep them coming back for many more Saturdays to come.  [Written by MAL Rewrite]"
"79","Isekai Meikyuu de Harem wo","https://cdn.myanimelist.net/images/anime/1490/126919.jpg","TV","12","Finished Airing","2022-07-06","None found","[3, 4, 78, 25, 18, 19, 147, 179, 180]","Light novel","[13, 10, 2, 42, 20, 4]","24.0","One day, high school student Michio Kaga attempts to start a strange online game he found while browsing the internet. Instead, he gets transported to a rural village in the game's world, equipped with special skills and an overpowered sword. After collecting his thoughts, he finds himself battling against bandits and soon realizes that he cannot log out. Resigning himself to fate and accepting this reality, Michio sets out on a journey—enjoying his new life, conquering dungeons to earn money, and building a harem to satisfy all his manly desires.  [Written by MAL Rewrite]"
"80","Maou-sama, Retry!","https://cdn.myanimelist.net/images/anime/1754/113897.jpg","TV","12","Finished Airing","2019-07-04","Funimation","[181]","Light novel","[13, 10, 2, 4]","23.0","Akira Oono is an ordinary working adult who manages the MMORPG Infinity Game. Fifteen years after creating the game, Oono decides to shut the servers down once and for all. However, as the clock strikes midnight, he somehow finds himself in the body of middle-aged Hakuto Kunai, Infinity Game's Demon Lord!  Soon after his mysterious transportation, he witnesses the demon Greole chasing after a little girl named Aku. Although he effortlessly dispatches the creature, Hakuto is still concerned; after all, he does not remember creating the girl or the demon! Doubting whether he truly is in the world of his creation, Hakuto decides to investigate. Bringing Aku along as his guide and companion, Hakuto sets out on a journey to find out exactly who or what summoned him to this fantasy world—all while leaving chaos and destruction in his wake.  [Written by MAL Rewrite]"
"81","Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2","https://cdn.myanimelist.net/images/anime/1088/120068.jpg","TV","13","Finished Airing","2022-01-09","Funimation","[8, 14, 99, 68, 125, 127, 53]","Light novel","[13, 2, 19, 20, 4, 18]","24.0","Together with his talented aides, the ""Realist Hero"" Kazuya Souma continues his quest of reinvigorating the Elfrieden Kingdom through administrative reform. Having successfully conquered Van—the capital city of the Principality of Amidonia—Kazuya now faces the envoy from Gran Chaos Empire, who wishes to impose punishment for breaching the ban on war established by the Mankind Declaration Treaty. Despite the dire situation, Kazuya sees a path to avoid unnecessary conflict whilst gaining new allies. With his plan being seemingly perfect, the only barrier to success is gaining approval from the envoy.  [Written by MAL Rewrite]"
"82","Hachi-nan tte, Sore wa Nai deshou!","https://cdn.myanimelist.net/images/anime/1834/110718.jpg","TV","12","Finished Airing","2020-04-02","Crunchyroll","[182, 1, 76, 18, 183, 19, 42, 184, 185, 186]","Light novel","[13, 2, 4, 12]","23.0","Waking up in a new world, 25-year-old Shingo Ichinomiya realizes that he is in the body of a six-year-old. Retaining memories of his stressful life working at a firm company, Shingo learns that the person he is occupying is Wendelin Von Benno Baumeister, the eighth son of a poor noble family living in the countryside. Awoken to his bizarre situation, Wendelin strives to change his financial and social status for the better. His newly discovered great magical aptitude may prove to be just what he needs to achieve that goal.  [Written by MAL Rewrite]"
"83","Isekai Quartet 2","https://cdn.myanimelist.net/images/anime/1030/103383.jpg","TV","12","Finished Airing","2020-01-15","Funimation","[19, 124]","Original","[1, 2, 4, 11]","11.0","Despite completing all the tasks given to them, Ainz Ooal Gown, Tanya Degurechaff, Kazuma Satou, Subaru Natsuki, and the other members of Class 2 are surprised to find out that their role as students is far from over. With no means of returning home, the class of eccentric personalities is still mysteriously stuck in the unfamiliar world. Although, as they are becoming quite fond of each other, spending more time together does not sound that bad.  With the unexpected arrival of new transfer students, the comedic antics of our beloved characters continue to grow. Thus, their bizarre yet nonchalant school life continues.  [Written by MAL Rewrite]"
"84","Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta... X","https://cdn.myanimelist.net/images/anime/1088/116439.jpg","TV","12","Finished Airing","2021-07-03","None found","[101, 80]","Light novel","[1, 2, 19, 4, 12, 30, 21, 31]","23.0","With no more death flags in sight, personable but dense Catarina Claes is finally able to lead a peaceful life surrounded by all of her friends and family. For that reason, she is determined to enjoy the school festival to the fullest without any concern on her mind.  Unbeknownst to her, however, the story of Fortune Lover—the game she used to play—has yet to end. Even more characters make an appearance, each with their own agenda to fulfill, and new mysteries await Katarina and those she loves. Will there be any way to avoid a bad ending when Catarina cannot remember what happens next?  [Written by MAL Rewrite]"
"85","Tensei shitara Slime Datta Ken OVA","https://cdn.myanimelist.net/images/anime/1230/118297.jpg","OVA","5","Finished Airing","2019-07-09","None found","[38]","Manga","[13, 10, 1, 2, 4, 12]","23.0","One day, Shuna and Shion are fighting over Rimuru's squishy slime body as usual. Rimuru figures that giving them each a body double of himself would solve the conflict, but when he imagines some of his other friends asking him to do the same for them, he quickly drops that plan. Then he comes up with the idea to make a cushion in the shape of his slime form. He travels around Tempest to see if his friends know of any good materials he can use, and he learns that a special type of sand found along a lake shore in the forest is exactly what he's looking for. So he sets out to collect some sand... but a monster is waiting for him by the lake! What's more, Milim hears about his plan for a picnic and comes racing down from the sky!  (Source: Crunchyroll)"
"86","Kono Subarashii Sekai ni Shukufuku wo! 3","https://cdn.myanimelist.net/images/anime/1800/136599.jpg","TV","0","Not yet aired","null","None found","[13, 19, 187, 188]","Light novel","[10, 1, 2, 4, 11, 12]","0.0","Third season of Kono Subarashii Sekai ni Shukufuku wo!"
